Date,Open,High,Low,Close,Adj Close,Volume,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2017-10-06,3931.0,3974.0,3928.5,3954.0,3905.20874,456732.0,4.0,8.0,130.0,17.3,12.1,8.2,0.0,102570.0,0.0
2017-10-09,3943.0,3972.0,3871.590088,3925.0,3876.56665,440246.0,7.0,0.9,54.0,17.0,13.8,10.0,0.0,101890.0,0.0
2017-10-10,3915.0,3932.0,3903.0,3922.0,3873.603516,315653.0,7.0,0.5,47.0,17.3,13.8,10.6,0.0,101520.0,0.0
2017-10-11,3924.0,3927.0,3904.0,3921.0,3872.615967,514920.0,7.0,0.5,46.0,17.9,15.6,13.9,1.0,101140.0,0.0
2017-10-12,3911.0,3949.0,3910.0,3931.0,3882.492676,881863.0,6.0,5.5,100.0,19.6,13.3,8.8,0.0,101990.0,0.0
2017-10-13,3925.0,3934.0,3893.0,3922.0,3873.603516,744303.0,7.0,0.0,32.0,20.0,15.2,10.8,0.0,102210.0,0.0
2017-10-16,3910.0,3935.0,3871.590088,3915.0,3866.689941,628885.0,5.0,2.5,68.0,15.0,17.0,11.6,0.0,101600.0,0.0
2017-10-17,3911.0,3931.0,3889.0,3899.0,3850.887451,646084.0,4.0,1.6,57.0,15.6,12.8,10.7,0.2,101880.0,0.0
2017-10-18,3908.0,3923.0,3891.0,3920.0,3871.628174,699955.0,8.0,0.0,29.0,17.1,13.4,11.2,1.2,101180.0,0.0
2017-10-19,3905.0,3916.0,3842.0,3878.0,3830.146484,1113674.0,8.0,0.0,29.0,16.2,14.5,11.9,2.4,100380.0,0.0
2017-10-20,3894.0,3898.0,3841.0,3849.0,3801.504395,969876.0,7.0,2.3,62.0,16.3,14.1,12.0,2.2,100400.0,0.0
2017-10-23,3850.0,3884.0,3841.0,3845.0,3797.553955,587998.0,8.0,0.0,27.0,19.4,13.4,9.8,0.2,101770.0,0.0
2017-10-24,3837.0,3859.0,3826.0,3826.0,3778.78833,682318.0,8.0,0.2,32.0,18.8,16.1,12.9,0.2,101800.0,0.0
2017-10-25,3839.0,3839.0,3771.5,3780.0,3733.355957,750293.0,6.0,5.6,84.0,16.0,16.6,14.3,0.0,102040.0,0.0
2017-10-26,3790.0,3813.0,3780.0,3790.0,3743.232422,641458.0,7.0,0.0,25.0,15.3,12.1,8.2,0.4,102490.0,0.0
2017-10-27,3800.0,3833.0,3790.310059,3794.0,3747.183105,401803.0,2.0,8.2,99.0,16.6,11.8,8.3,0.0,103270.0,0.0
2017-10-30,3785.0,3789.0,3757.0,3760.0,3713.602783,504790.0,2.0,7.7,92.0,13.6,8.0,3.1,0.0,103080.0,0.0
2017-10-31,3753.0,3784.0,3753.0,3761.0,3714.590332,372888.0,6.0,0.4,32.0,16.0,9.4,5.2,0.0,102620.0,0.0
2017-11-01,3765.0,3776.0,3733.0,3747.0,3700.763184,1702005.0,5.0,1.5,44.0,12.4,11.7,7.4,0.2,101930.0,0.0
2017-11-02,3741.0,3771.0,3733.0,3750.0,3703.726074,1550906.0,5.0,0.4,31.0,14.6,7.5,2.6,0.0,101600.0,0.0
2017-11-03,3762.0,3762.0,3739.0,3744.0,3697.800049,572352.0,4.0,3.9,62.0,13.5,10.2,5.9,4.2,101360.0,0.0
2017-11-06,3734.0,3786.0,3733.0,3769.0,3722.491455,513002.0,1.0,6.9,78.0,12.3,6.5,0.8,0.2,102500.0,0.0
2017-11-07,3779.0,3790.679932,3755.0,3773.0,3726.442383,888861.0,8.0,0.0,21.0,9.9,8.1,3.8,5.4,101790.0,0.0
2017-11-08,3774.0,3774.0,3732.0,3770.0,3723.479248,615451.0,5.0,0.3,27.0,14.1,7.6,5.3,0.0,102260.0,0.0
2017-11-09,3761.0,3784.0,3728.0,3733.0,3686.935791,522373.0,7.0,1.0,34.0,13.3,7.6,1.1,0.0,102370.0,0.0
2017-11-10,3743.0,3759.0,3720.0,3720.0,3674.096191,801338.0,6.0,3.4,53.0,10.2,10.4,7.5,7.6,102000.0,0.0
2017-11-13,3760.0,3762.0,3678.0,3690.0,3644.466309,433566.0,4.0,3.3,50.0,11.5,5.3,1.5,0.2,102570.0,0.0
2017-11-14,3698.0,3736.0,3690.0,3721.0,3675.08374,758906.0,8.0,0.0,18.0,11.9,7.7,3.8,0.4,102400.0,0.0
2017-11-15,3722.0,3752.0,3703.0,3738.0,3691.874023,828489.0,8.0,0.0,18.0,14.8,10.4,9.0,0.0,102420.0,0.0
2017-11-16,3762.0,3784.0,3749.0,3784.0,3737.306641,378383.0,7.0,1.6,36.0,10.8,12.2,9.5,0.2,102350.0,0.0
2017-11-17,3776.0,3881.0,3776.0,3846.0,3798.541504,982712.0,3.0,5.8,61.0,9.1,5.7,0.6,0.0,102920.0,0.0
2017-11-20,3807.0,3831.0,3799.0,3804.0,3757.059814,396883.0,8.0,0.0,17.0,14.2,8.4,4.1,0.8,101590.0,0.0
2017-11-21,3794.0,3820.0,3790.0,3810.0,3762.985596,497570.0,8.0,0.1,19.0,15.9,12.3,10.4,0.0,101000.0,0.0
2017-11-22,3806.0,3828.0,3797.0,3803.0,3756.072021,3341436.0,7.0,0.1,19.0,12.0,14.1,12.2,2.8,99790.0,0.0
2017-11-23,3806.0,3810.0,3774.0,3785.0,3738.294189,429661.0,6.0,5.4,55.0,7.6,10.2,8.3,0.0,99750.0,0.0
2017-11-24,3779.0,3792.0,3776.0,3776.0,3729.405029,228951.0,6.0,0.3,21.0,7.8,6.5,5.5,0.0,101060.0,0.0
2017-11-27,3785.0,3809.0,3753.0,3770.0,3723.479248,541424.0,7.0,0.2,19.0,7.2,6.5,2.9,0.6,101370.0,0.0
2017-11-28,3780.0,3800.0,3757.0,3800.0,3753.108887,510870.0,4.0,4.1,45.0,6.2,4.8,2.5,0.0,100880.0,0.0
2017-11-29,3737.0,3878.0,3710.0,3805.0,3758.047363,1396568.0,5.0,0.1,17.0,4.3,4.0,1.8,0.0,101070.0,0.0
2017-11-30,3791.0,3791.0,3740.0,3779.0,3732.368164,1007243.0,4.0,4.2,45.0,7.2,1.9,-0.4,0.0,101240.0,0.0
2017-12-01,3750.0,3886.0,3735.0,3783.0,3736.318848,819516.0,6.0,3.5,39.0,7.5,4.0,0.8,0.0,102090.0,0.0
